"Subtotal","Промежуточный итог"
"Switch/Solo/Maestro Only","Switch / Solo / Maestro только"
"Telephone","Телефон"
"The base directory to upload image file is not specified.","Базовый каталог для загрузки файлов изображений не указано."
"The onepage checkout is disabled.","Оформить заказ OnePage отключена."
"The store does not currently ship to your address. Please modify your shipping address.","Магазин в настоящее время не грузим к вашему адресу. Пожалуйста, измените адрес доставки."
"There was an error processing your order. Please contact us or try again later.","Был ошибка при обработке вашего заказа. Пожалуйста свяжитесь с нами или повторите попытку позже."
"This account is not confirmed.","Эта учетная запись не подтверждается."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Эта учетная запись не подтверждается. <a href=""%s""> Нажмите здесь </a> повторно подтверждение по электронной почте."
"This email address was not found in our records.","Этот адрес электронной почты не был найден в наших записях."
"To","для"
"To keep your GeoIp database up to date please download fresh data <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">here</a>.","Чтобы сохранить свои GeoIP базы в актуальном состоянии, пожалуйста, скачайте свежую <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">здесь</a>."
"Total","общий"
"Total incl. tax","Всего вкл. налог"
"Try using a badge that is not more than 115px in width and 55px in height","Попробуйте использовать значок, который составляет не более 115px в ширину и 55px пикселей в высоту"
"Unable to set Payment Method.","Не удалось установить оплаты."
"Upload your logo here, preferably of not greater than 60px in height.","Добавить логотип здесь, предпочтительно не более чем 60 пикселей по высоте."
"Use Store Credit","Используйте кредит магазина"
"Use default Billing Address","Используйте адрес по умолчанию биллинг"
"Verified By GeoTRUST","Verified By Geotrust"
"Visa","Виза"
"Watermarks","Водяные знаки"
"What is this?","Что это?"
"You are shipping to:","Вы отправляете на:"
"You can leave this box blank if you do not wish to add a gift message for the item.","Вы можете оставить это поле пустым, если вы не хотите, чтобы добавить подарок сообщения для данного элемента."
"You can leave this box blank if you do not wish to add a gift message for this address.","Вы можете оставить это поле пустым, если вы не хотите, чтобы добавить подарок сообщения для этого адреса."
"You can leave this box blank if you do not wish to add a gift message<br/> for the item.","Вы можете оставить это поле пустым, если вы не хотите, чтобы добавить подарок сообщения<br/> для данного элемента."
"You can leave this box blank if you do not wish to add a gift message<br/>for whole order.","Вы можете оставить это поле пустым, если вы не хотите, чтобы добавить подарок<br/> сообщение на весь заказ."
"You have an existing account!","У вас уже есть счет!"
"Your %s Information","Ваша информация %s"
"Your Total","Ваш общий"
"Your version of Awesome Checkout is currently not up-to-date. Please <a href=""http://www.awesomecheckout.com/update"">click here</a> to get the latest version.","Ваша версия Потрясающие заказ в настоящее время не соответствующий современным требованиям. Пожалуйста <a href=""http://www.awesomecheckout.com/update""> нажмите здесь </a> чтобы получить последнюю версию."
"Zip Code","Почтовый индекс"
"Zip Code (Description)","Почтовый индекс (описание)"
"Zip Code (Error)","Почтовый индекс (ошибка)"
"Zip/Postal Code","Zip / Почтовый индекс"
"available","доступный"
"then click ""Proceed to Shipping Type""","нажмите кнопку ""Продолжайте к перевозке груза типа"""
