"You can leave this box blank if you do not wish to add a gift message<br/>for whole order.","È possibile lasciare vuota questa casella se non si desidera aggiungere un messaggio dono <br/> per ordine intero."
"You have an existing account!","Si dispone di un account!"
"Your %s Information","Il tuo %s Informazioni"
"Your Total","Il tuo totale"
"Your version of Awesome Checkout is currently not up-to-date. Please <a href=""http://www.awesomecheckout.com/update"">click here</a> to get the latest version.","La tua versione di Checkout Impressionante non è attualmente up-to-date. Si prega se si href=""http://www.awesomecheckout.com/update""> clicca qui </a> per ottenere la versione più recente."
"Zip Code","Codice di avviamento postale"
"Zip Code (Description)","CAP (descrizione)"
"Zip Code (Error)","CAP (Errore)"
"Zip/Postal Code","Zip / Postal Code"
"available","disponibile"
"then click ""Proceed to Shipping Type""","quindi fare clic su ""Procedere al tipo di spedizione"""
