"Phone Number (Error)","Número de teléfono (Error)"
"Pincode Maxlength","PINCODE Maxlength"
"Please agree to all the terms and conditions before placing the order.","Por favor estar de acuerdo con todos los términos y condiciones antes de realizar el pedido."
"Please enter your email.","Introduzca su dirección de correo electrónico."
"Please fill out your shipping address &amp; then click ""Proceed to Shipping Type""","Por favor, rellene su dirección de envío y haga clic en ""Proceder a Tipo de envío"""
"Please fill out your shipping address &amp;,Por favor","rellene su dirección de envío y"
"Please select region, state or province","Por favor seleccione la región, estado o provincia"
"Price","Precio"
"Proceed to Billing Information","Proceder a la información de facturación"
"Proceed to Payment &rarr;","Proceder al pago &rarr;"
"Proceed to Shipping Method","Continúe con el Método de envío"
"Proceed to Shipping Method &rarr;","Continúe con el Método de envío &rarr;"
"Proceed to Shipping Type","Continúe con el tipo del envío"
"Proceed to Shipping Type &rarr;","Continúe con el tipo del envío &rarr;"
"Product Name","Nombre del producto"
"Promo Code","Código de promoción"
"Qty","Cantidad"
"Review Purchase","Revise Compra"
"Review Purchase &rarr;","Revise compra &rarr;"
"Save for Future Purchases","Guardar para futuras compras"
"Save for future purchases","Guardar para futuras compras"
"Security Badges","Insignias de seguridad"
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o introduzca una nueva dirección."
"Selected payment type is not allowed for billing country.","Tipo de pago seleccionado no está permitido para el país de facturación."
"Shipping","Envío"
"Shipping Information","Información del envío"
"Shipping Method","Método de envío"
"Shipping Method Message","Método de envío Mensaje"
"Shipping Method:","Método de envío:"
"Shipping and Billing Address","Gastos de envío y dirección de facturación"
"Special Announcement","Anuncio Especial"
"Start Date","Fecha de inicio"
"State","Estado"
"State/Province","Estado / Provincia"
"Street Address","Dirección"
"Street Address %s","Dirección %s"
"Submitting order information...","Envío de información de la orden ..."
"Subtotal","Total parcial"
"Switch/Solo/Maestro Only","Switch / Solo / Maestro Solo"
"Telephone","Teléfono"
"The base directory to upload image file is not specified.","No se especifica el directorio base para cargar el archivo de imagen."
"The onepage checkout is disabled.","La comprobación onepage está desactivado."
"The store does not currently ship to your address. Please modify your shipping address.","El almacén no se distribuye actualmente a su dirección. Modifique su dirección de envío."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su solicitud. Por favor póngase en contacto con nosotros o inténtelo de nuevo más tarde."
"This account is not confirmed.","Esta cuenta no está confirmado."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmado. <a href=""%s""> clic aquí </ a> para enviar correo electrónico de confirmación."
"This email address was not found in our records.","Esta dirección de correo electrónico no se encuentra en nuestros registros."
"To","a"
"To keep your GeoIp database up to date please download fresh data <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">here</a>.","Para mantener su base de datos GeoIP al día por favor descargue fresca datos <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">aquí</a>."
"Total incl. tax","Incl total. impuesto"
"Try using a badge that is not more than 115px in width and 55px in height","Trate de usar una tarjeta de identificación que no es más de 115px de ancho y 55px de altura"
"Unable to set Payment Method.","No se puede establecer Método de Pago."
"Upload your logo here, preferably of not greater than 60px in height.","Cargue su logotipo aquí, preferiblemente de no más de 60 píxeles de altura."
"Use Store Credit","Utilice la tienda de Crédito"
"Use default Billing Address","Utilice la dirección de facturación por defecto"
"Verified By GeoTRUST","Verificado por GeoTrust"
"Visa","Tarjeta Visa"
"Watermarks","Marcas de agua"
"What is this?","¿Qué es esto?"
"You are shipping to:","Usted va a enviar a:"
"You can leave this box blank if you do not wish to add a gift message for the item.","Puede dejar este cuadro en blanco si no desea agregar un mensaje de felicitación para el artículo."
"You can leave this box blank if you do not wish to add a gift message for this address.","Puede dejar este cuadro en blanco si no desea añadir un mensaje de regalo para esta dirección."
"You can leave this box blank if you do not wish to add a gift message<br/> for the item.","Puede dejar este cuadro en blanco si no desea añadir un mensaje de regalo <br/> para el elemento."
"You can leave this box blank if you do not wish to add a gift message<br/>for whole order.","Puede dejar este cuadro en blanco si no desea añadir un mensaje de regalo <br/> para la orden entera."
"You have an existing account!","Usted tiene una cuenta!"
"Your %s Information","Información Su %s"
"Your Total","Su total"
"Your version of Awesome Checkout is currently not up-to-date. Please <a href=""http://www.awesomecheckout.com/update"">click here</a> to get the latest version.","Su versión del Pedido impresionante actualmente no está al día. Por favor, <a href=""http://www.awesomecheckout.com/update""> clic aquí </a> para obtener la última versión."
"Zip Code","Código postal"
"Zip Code (Description)","Código Postal (Descripción)"
"Zip Code (Error)","Código Postal (Error)"
"Zip/Postal Code","Zip / Postal Code"
"available","disponible"
"then click ""Proceed to Shipping Type""","a continuación haga clic en ""Vaya al tipo del envío"""
