"Please enter your email.","Bitte geben Sie Ihre E-Mail-Adresse an."
"Please fill out your shipping address &amp;","Bitte füllen Sie Ihre Lieferadresse &"
"Please fill out your shipping address &amp; then click ""Proceed to Shipping Type""","Bitte füllen Sie Ihre Lieferadresse aus und klicken Sie dann auf ""Weiter zur Versandart"""
"Please select region, state or province","Bitte wählen Sie einen Kanton."
"Price","Preis"
"Proceed to Billing Information","Weiter zu den Rechnungsinformationen"
"Proceed to Payment &rarr;","Weiter zur Zahlung &rarr;"
"Proceed to Shipping Method","Weiter zur Versandart"
"Proceed to Shipping Method &rarr;","Gehen Sie zur Versandart &rarr;"
"Proceed to Shipping Type","Weiter zur Versandart"
"Proceed to Shipping Type &rarr;","Gehen Sie zur Versandart &rarr;"
"Product Name","Produktname"
"Qty","Menge"
"Review Purchase","Beurteilung dieses Produkts"
"Review Purchase &rarr;","Beurteilung dieses Produkts &rarr;"
"Save for Future Purchases","Speichern für zukünftige Einkäufe"
"Save for future purchases","Speichern für zukünftige Einkäufe"
"Security Badges","Sicherheit Abzeichen"
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse."
"Selected payment type is not allowed for billing country.","Ausgewählte Zahlungsart ist für Ihr Land nicht gültig."
"Shipping","Versand"
"Shipping Information","Versand Informationen"
"Shipping Method","Liefer-Methode"
"Shipping Method Message","Versandart Nachricht"
"Shipping Method:","Liefer-Methode:"
"Shipping and Billing Address","Liefer-und Rechnungsadresse"
"Sorry, no quotes are available for this order at this time.",",Leider sind keine Angebote für diese Bestellung erhältlich."
"Special Announcement","Spezielle Mitteilung"
"Start Date","Startdatum"
"State","Status"
"State/Province","Kanton"
"Street Address","Strasse"
"Street Address %s","Strasse %s"
"Submitting order information...","Bestellung wird übermittelt ..."
"Subtotal","Zwischensumme"
"Switch/Solo/Maestro Only","Switch / Solo / Maestro"
"Telephone","Telefon"
"The base directory to upload image file is not specified.","Das Basis-Verzeichnis zu laden Bilddatei ist nicht angegeben."
"The onepage checkout is disabled.","Die onepage Kasse ist deaktiviert."
"The store does not currently ship to your address. Please modify your shipping address.","Das Geschäft derzeit nicht zu Ihrer Adresse zu versenden. Modifizieren Sie bitte Ihre Adresse versenden."
"There was an error processing your order. Please contact us or try again later.","Es gab einen Fehler bei der Verarbeitung Ihrer Bestellung. Bitte kontaktieren Sie uns oder versuchen Sie es später erneut."
"This account is not confirmed.","Dieses Konto wird nicht bestätigt."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieses Konto wurde nicht bestätigt. <a href=""%s"">Klicken Sie hier</ a> um eine Bestätigung per E-Mail zu senden."
"This email address was not found in our records.","Diese E-Mail-Adresse wurde nicht gefunden."
"To","Um"
"To keep your GeoIp database up to date please download fresh data <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">here</a>.","Um Ihre GeoIP Datenbank aktuell zu halten laden Sie neue Daten <a target=""_blank"" href=""http://www.maxmind.com/app/geolitecity"">hier</a>."
"Total","insgesamt"
"Total incl. tax","Gesamtpreis inkl.. Steuern"
"Try using a badge that is not more than 115px in width and 55px in height","Versuchen Sie es mit einem Abzeichen, das nicht mehr als 115px breit und 55px in der Höhe"
"Unable to set Payment Method.","Zahlungsart kann nicht eingestellt werden."
"Upload your logo here, preferably of not greater than 60px in height.","Laden Sie Ihr Logo hier hoch, vorzugsweise von nicht mehr als 60px in der Höhe."
"Use Store Credit","Verwenden Gutschrift"
"Use default Billing Address","Verwenden Sie Standard-Rechnungsadresse"
"Verified By GeoTRUST","Verified by GeoTrust"
"Visa","VISA-Karte"
"Watermarks","Wasserzeichen"
"What is this?","Was ist das?"
"You are shipping to:","Sie versanden an_"
"You can leave this box blank if you do not wish to add a gift message for the item.","Sie können dieses Feld leer lassen, wenn Sie nicht wollen, um ein Geschenk für die Meldung Element hinzuzufügen."
"You can leave this box blank if you do not wish to add a gift message for this address.","Sie können dieses Feld leer lassen, wenn Sie nicht wollen, um ein Geschenk für diese Nachricht Adresse hinzufügen."
"You can leave this box blank if you do not wish to add a gift message<br/> for the item.","Sie können dieses Feld leer lassen, wenn Sie nicht wollen, um ein Geschenk Nachricht <br/> hinzufügen für das Element."
"You can leave this box blank if you do not wish to add a gift message<br/>for whole order.","Sie können dieses Feld leer lassen, wenn Sie nicht wollen, um ein Geschenk Nachricht <br/> hinzufügen für gesamte Bestellung."
"You have an existing account!","Sie haben bereits ein Konto!"
"Your %s Information","Ihre %s Information"
"Your Total","Ihre Gesamtsumme"
"Your version of Awesome Checkout is currently not up-to-date. Please <a href=""http://www.awesomecheckout.com/update"">click here</a> to get the latest version.","Ihre Version of Awesome Kasse ist derzeit nicht up-to-date. Bitte <a href=""http://www.awesomecheckout.com/update"">Klicken Sie hier</a>, um die neueste Version zu erhalten."
"Zip Code","Postleitzahl"
"Zip Code (Description)","Postleitzahl (Beschreibung)"
"Zip Code (Error)","Postleitzahl (Fehler)"
"Zip/Postal Code","PLZ"
"available","verfügbar"
"then click ""Proceed to Shipping Type""","klicken Sie dann auf ""Weiter zur Versandart"""
